Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,employeeid
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,2,4,Healthcare Representative,2,Divorced,13577,25592,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0,39
51,Yes,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,2,Male,84,3,4,Manager,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,40
53,Yes,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Female,78,3,3,Manufacturing Director,4,Married,10169,14618,0,Y,Yes,16,3,3,80,1,34,4,3,33,7,1,9,41
51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,3,Male,84,3,4,Manager,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,42
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,2,4,Healthcare Representative,2,Single,13577,25592,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0,43
52,Yes,Non-Travel,771,Sales,2,4,Life Sciences,1,1,Female,79,2,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,2,80,0,33,2,4,33,7,15,12,44
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Male,65,3,5,Manager,3,Single,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9,45
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,46
52,Yes,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,2,Male,65,2,5,Manager,3,Divorced,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9,47
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,3,4,Healthcare Representative,2,Divorced,13577,25592,1,Y,Yes,15,3,3,80,1,34,3,3,33,9,15,0,48
51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,3,Male,84,3,4,Manager,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,49
53,No,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Male,78,2,3,Manufacturing Director,4,Single,10169,14618,0,Y,No,16,3,2,80,1,34,4,3,33,7,1,9,50
55,Yes,Non-Travel,177,Research & Development,8,1,Medical,1,4,Female,37,2,4,Healthcare Representative,2,Divorced,13577,25592,1,Y,Yes,15,3,2,80,1,34,3,3,33,9,15,0,51
51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,3,Male,84,3,4,Manager,2,Single,14026,17588,1,Y,No,11,3,2,80,1,33,2,3,33,9,0,10,52
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Male,65,2,5,Manager,3,Married,19999,5678,0,Y,No,14,3,4,80,1,34,5,3,33,18,11,9,53
52,Yes,Non-Travel,771,Sales,2,4,Life Sciences,1,2,Male,79,2,5,Manager,3,Divorced,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,54
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,1,Male,79,3,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,3,80,0,33,2,4,33,7,15,12,55
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Male,65,2,5,Manager,3,Married,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,33,18,11,9,56
53,No,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Male,78,2,3,Manufacturing Director,4,Single,10169,14618,0,Y,No,16,3,2,80,1,34,4,3,33,7,1,9,57
51,Yes,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,3,Female,84,3,4,Manager,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,58
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,3,4,Healthcare Representative,2,Single,13577,25592,1,Y,No,15,3,4,80,1,34,3,3,33,9,15,0,59
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Male,65,2,5,Manager,3,Married,19999,5678,0,Y,No,14,3,4,80,1,34,5,3,33,18,11,9,60
52,Yes,Non-Travel,771,Sales,2,4,Life Sciences,1,2,Male,79,2,5,Manager,3,Divorced,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,61
52,No,Travel_Rarely,699,Research & Development,1,4,Life Sciences,1,3,Male,65,3,5,Manager,3,Married,19999,5678,0,Y,Yes,14,3,3,80,1,34,5,3,33,18,11,9,62
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12,63
53,No,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Male,78,2,3,Manufacturing Director,4,Single,10169,14618,0,Y,No,16,3,2,80,1,34,4,3,33,7,1,9,64
51,Yes,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,3,Female,84,3,4,Manager,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,65
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,3,4,Healthcare Representative,2,Single,13577,25592,1,Y,No,15,3,4,80,1,34,3,3,33,9,15,0,66
53,No,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,3,Male,78,2,3,Manufacturing Director,4,Married,10169,14618,0,Y,No,16,3,4,80,1,34,4,3,33,7,1,9,67
53,Yes,Travel_Rarely,607,Research & Development,2,5,Technical Degree,1,2,Female,78,2,3,Manufacturing Director,4,Divorced,10169,14618,0,Y,No,16,3,2,80,1,34,4,3,33,7,1,9,68
55,No,Non-Travel,177,Research & Development,8,1,Medical,1,4,Male,37,3,4,Healthcare Representative,2,Divorced,13577,25592,1,Y,Yes,15,3,3,80,1,34,3,3,33,9,15,0,69
51,No,Travel_Rarely,770,Human Resources,5,3,Life Sciences,1,3,Male,84,3,4,Manager,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,70
50,No,Travel_Frequently,333,Research & Development,22,5,Medical,1,3,Male,88,1,4,Research Director,4,Single,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,71
50,Yes,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Female,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,2,80,1,32,2,3,32,5,10,7,72
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,57,3,5,Manager,4,Single,19845,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9,73
50,No,Travel_Frequently,333,Research & Development,22,5,Medical,1,3,Male,88,1,4,Research Director,4,Single,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,74
50,Yes,Travel_Frequently,333,Research & Development,22,5,Medical,1,2,Male,88,1,4,Research Director,4,Divorced,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,75
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,57,3,5,Manager,4,Married,19845,25846,1,Y,Yes,15,3,3,80,1,33,3,3,32,14,6,9,76
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Male,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,77
52,No,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Male,57,1,5,Manager,4,Single,19845,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9,78
50,Yes,Travel_Frequently,333,Research & Development,22,5,Medical,1,3,Female,88,1,4,Research Director,4,Single,14411,24450,1,Y,Yes,13,3,2,80,0,32,2,3,32,6,13,9,79
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Male,99,3,5,Manager,2,Single,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,80
52,No,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Male,57,1,5,Manager,4,Married,19845,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9,81
50,Yes,Travel_Frequently,1246,Human Resources,3,3,Medical,1,2,Male,99,3,5,Manager,2,Divorced,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,82
50,No,Travel_Frequently,333,Research & Development,22,5,Medical,1,3,Male,88,3,4,Research Director,4,Single,14411,24450,1,Y,Yes,13,3,3,80,0,32,2,3,32,6,13,9,83
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,57,1,5,Manager,4,Married,19845,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9,84
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Male,99,3,5,Manager,2,Single,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,85
50,Yes,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Female,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,2,80,1,32,2,3,32,5,10,7,86
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,57,3,5,Manager,4,Single,19845,25846,1,Y,No,15,3,4,80,1,33,3,3,32,14,6,9,87
50,No,Travel_Frequently,333,Research & Development,22,5,Medical,1,3,Male,88,1,4,Research Director,4,Single,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,88
50,Yes,Travel_Frequently,333,Research & Development,22,5,Medical,1,2,Male,88,1,4,Research Director,4,Divorced,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,89
52,Yes,Travel_Rarely,266,Sales,2,1,Marketing,1,1,Female,57,3,5,Manager,4,Married,19845,25846,1,Y,Yes,15,3,3,80,1,33,3,3,32,14,6,9,90
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,1,Male,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7,91
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,2,5,Research Director,3,Single,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9,92
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Female,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,2,80,0,40,2,3,31,15,13,8,93
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,1,1,Male,98,3,4,Manager,1,Single,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,94
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,4,80,1,31,5,3,31,9,0,9,95
50,Yes,Non-Travel,881,Research & Development,2,4,Life Sciences,1,2,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,96
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,3,80,0,40,2,3,31,15,13,8,97
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9,98
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,1,1,Male,98,3,4,Manager,1,Single,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,99
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Female,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,2,80,0,40,2,3,31,15,13,8,100
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,3,5,Research Director,3,Single,19502,2125,1,Y,No,17,3,3,80,1,31,5,3,31,9,0,9,101
58,No,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8,102
50,Yes,Non-Travel,881,Research & Development,2,4,Life Sciences,1,2,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,103
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,3,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9,104
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,1,1,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,105
58,No,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8,106
49,Yes,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Female,58,2,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,2,80,1,31,5,3,31,9,0,9,107
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,No,12,3,4,80,0,40,2,3,31,15,13,8,108
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,1,1,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,109
50,Yes,Non-Travel,881,Research & Development,2,4,Life Sciences,1,2,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7,110
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,1,4,Male,58,3,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9,111
58,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,1,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Y,Yes,12,3,4,80,0,40,2,3,31,15,13,8,112
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Single,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13,113
50,Yes,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Female,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,2,80,1,32,3,3,30,8,12,13,114
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Single,11245,20689,2,Y,No,15,3,3,80,1,32,3,3,30,8,12,13,115
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,4,80,1,32,3,3,30,8,12,13,116
50,Yes,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Divorced,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13,117
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13,118
50,No,Travel_Frequently,1234,Research & Development,20,5,Medical,1,2,Male,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13,119
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Single,19847,19196,4,Y,Yes,24,4,1,80,1,31,5,2,29,10,11,10,120
51,Yes,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Female,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Yes,24,4,2,80,1,31,5,2,29,10,11,10,121
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Female,41,3,5,Manager,1,Single,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,122
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Yes,24,4,4,80,1,31,5,2,29,10,11,10,123
60,Yes,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,2,Female,41,3,5,Manager,1,Divorced,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,124
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,Yes,11,3,3,80,0,33,5,1,29,8,11,10,125
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Yes,24,4,1,80,1,31,5,2,29,10,11,10,126
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Male,41,3,5,Manager,1,Single,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,127
60,Yes,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,2,80,0,33,5,1,29,8,11,10,128
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Single,19847,19196,4,Y,No,24,4,1,80,1,31,5,2,29,10,11,10,129
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Yes,24,4,4,80,1,31,5,2,29,10,11,10,130
60,Yes,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,2,Female,41,3,5,Manager,1,Divorced,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,131
51,No,Travel_Frequently,237,Sales,9,3,Life Sciences,1,4,Male,83,3,5,Manager,2,Divorced,19847,19196,4,Y,Yes,24,4,3,80,1,31,5,2,29,10,11,10,132
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,133
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Male,88,2,4,Manager,3,Single,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,134
50,Yes,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Female,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,135
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,2,Female,43,3,5,Research Director,3,Single,18740,16701,5,Y,No,12,3,4,80,1,29,2,2,27,3,13,8,136
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,2,Male,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,137
50,Yes,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Male,88,2,4,Manager,3,Divorced,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,138
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,2,Female,43,3,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,3,80,1,29,2,2,27,3,13,8,139
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,140
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Male,88,2,4,Manager,3,Single,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,141
50,Yes,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,1,2,Female,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7,142
